scope,regime_or_comparison,workload,n,false_positives,false_positive_rate,ci95_low,ci95_high,gap_or_paired_difference,discordant_a_only,discordant_b_only,mcnemar_exact_p,median_score_difference,rank_biserial,notes
primary,C1-OQS,ALL,200,2,0.01,0.0027466581,0.0357217617,0.0,,,,,,Held-out classical baseline
primary,C2,ALL,200,169,0.845,0.7883930941,0.8886036307,0.835,,,,,,Hybrid X25519MLKEM768; gap vs C1-OQS
primary,C3,ALL,200,119,0.595,0.5257971008,0.6606222872,0.585,,,,,,PQC-oriented mlkem768; gap vs C1-OQS
workload,C1-OQS,W01,40,1,0.025,,,,,,,,,
workload,C1-OQS,W02,40,0,0.0,,,,,,,,,
workload,C1-OQS,W03,30,0,0.0,,,,,,,,,
workload,C1-OQS,W04,30,0,0.0,,,,,,,,,
workload,C1-OQS,W05,30,1,0.0333333333,,,,,,,,,
workload,C1-OQS,W06,30,0,0.0,,,,,,,,,
workload,C2,W01,40,40,1.0,,,,,,,,,
workload,C2,W02,40,40,1.0,,,,,,,,,
workload,C2,W03,30,30,1.0,,,,,,,,,
workload,C2,W04,30,6,0.2,,,,,,,,,
workload,C2,W05,30,23,0.7666666667,,,,,,,,,
workload,C2,W06,30,30,1.0,,,,,,,,,
workload,C3,W01,40,34,0.85,,,,,,,,,
workload,C3,W02,40,36,0.9,,,,,,,,,
workload,C3,W03,30,30,1.0,,,,,,,,,
workload,C3,W04,30,0,0.0,,,,,,,,,
workload,C3,W05,30,13,0.4333333333,,,,,,,,,
workload,C3,W06,30,6,0.2,,,,,,,,,
paired,C2_vs_C1-OQS,ALL,200,,,,,0.835,167,0,1.0691058840e-50,0.1198120284,0.9997014925,Primary matched comparison
paired,C3_vs_C1-OQS,ALL,200,,,,,0.585,117,0,1.2037062152e-35,0.0922465954,0.9934328358,Primary matched comparison
paired,C2_vs_C3,ALL,200,,,,,0.25,52,2,1.6497914146e-13,0.0292355428,0.9208955224,Secondary exploratory comparison
